"","p.value","HR","Low 95%CI","High 95%CI"
"SORCS2",0.15990767100706,1.22622758383992,0.922674917610728,1.62964664874986
"HNMT",0.007716310729606,1.24640272138599,1.05995311512483,1.46564949119985
"LRRK2",0.760717452475121,1.0252317264765,0.873319378829481,1.20356895593315
"SHISA4",0.00861477796657244,1.86730032523604,1.1718270552511,2.9755333681722
"CD300E",0.064551618546703,1.09370684408788,0.994605726207495,1.20268225819073
"DBNL",0.0260553469101151,1.77204532586297,1.07062061789588,2.93301341710026
"PLBD1",0.645829860537402,1.02359945955646,0.926674032636782,1.13066279695242
"F5",0.566714924062131,1.06001319005099,0.868395622512182,1.29391251401238
"CD68",0.213163931643175,1.2565349365893,0.877073953955816,1.80016752264542
"SMPDL3A",0.12663235656264,1.16902662333991,0.956750368389699,1.42840106597258
"PID1",0.225152910516773,1.18876417617952,0.898980163036537,1.57195934312329
"SMAP2",0.00452613440740901,1.51218905272645,1.13660432269782,2.01188371847648
"C3AR1",0.26731626413672,1.09183807782947,0.934837808416151,1.27520557840733
"KLF4",0.115965648897642,1.10809616217489,0.974980978292305,1.25938570286505
"NUAK2",0.127755941773054,1.24331522922565,0.939430318228518,1.6455001815775
"PTPN9",0.0389830656851778,1.92696755934149,1.03372975109977,3.59204518473429
"FCN2",0.284897554008693,1.45483637227539,0.7318267649185,2.89214465985147
"OSBPL11",0.577071502131068,1.09114313841325,0.803051801154184,1.48258598859395
"LILRA1",0.0065768249684248,1.20391498590195,1.05309613496963,1.3763333138822
"LILRB1",0.0141039929292583,1.20890510592236,1.03897064776062,1.40663411259512
"SPI1",0.0277345637972944,1.37485939450997,1.03548092151235,1.82546903125127
"ZNF385A",0.000733524065447018,1.42155636939177,1.15903059111308,1.74354544811248
"CSRP1",5.42620729171017e-06,3.05682334484614,1.88853120658648,4.94784991055877
"WNT5B",0.208273311982194,1.47606348354071,0.804837084226397,2.70708625402934
"VSIG2",0.0295266212297262,1.25297942219228,1.02267944990426,1.53514127284387
"ANXA5",0.0402612503326446,1.14411393828057,1.00599731193297,1.30119304320278
"IFI30",0.00902568353933787,1.28807550076015,1.06516204031343,1.55763952606713
"APAF1",0.855651516119435,0.967458580425304,0.677380143570478,1.38175899267582
"IL4I1",0.00268016733842494,1.54359162464497,1.16265623402554,2.04933757197037
"ASPHD2",0.141338331958681,1.37785466652915,0.898889761404732,2.11203148994524
"FOLR3",0.0869985534368783,1.21772163562037,0.971801815895581,1.52587282468845
"SLC7A7",0.0983056801127329,1.12085217681494,0.979046264737906,1.28319738047017
"FOSL2",0.562806817965077,1.0697885264113,0.851268707143377,1.34440216307457
"SERPINA1",0.423470243339065,1.04478281850612,0.938506549150734,1.16309378856585
"CPQ",0.00573380746072959,1.68147326160169,1.16298144513137,2.43112419490241
"MS4A7",0.189379260758707,1.10265513796361,0.952928389869083,1.27590736744089
"CPM",0.0776715578128333,1.18374035234132,0.981473213057846,1.42769176287093
"MTMR14",0.0102628748676812,2.101016547684,1.19187893602809,3.70362324579078
"MLKL",0.853709575085033,1.03668143182238,0.706873711170938,1.52036831204974
"NLRC4",0.406355859245173,1.08325927537679,0.896906492518895,1.30833109970504
"MYO1F",0.0312528435553545,1.33216356340474,1.02615237991505,1.72943102252526
"ESRRA",0.0105515088835709,1.85633099405663,1.1554351927851,2.98239553461153
"SRGAP1",0.0155016903288427,1.50338681673253,1.08065444547033,2.09148440576809
"FAM151B",0.834221283549736,0.966879399785542,0.705321338965178,1.32543242644727
"ATP6V1B2",0.717181766133237,1.06939165683276,0.743843735457722,1.53741768760049
"CYP27A1",0.252127714272224,1.09196793950698,0.939323096696186,1.26941835573408
"SRGAP2",0.0140237962278794,1.47211472365787,1.08132105235767,2.00414276119491
"DMXL2",0.294263213517075,0.916878208487977,0.779618044276826,1.0783045048424
"PPT1",0.104142707711813,1.34953291934663,0.940100020028389,1.93728226954537
"KCTD17",6.5876282090828e-05,2.07994129777436,1.45159698743469,2.98027334007673
"TMEM120A",0.289925706994966,1.2179931568281,0.845335093920366,1.75493403828783
"C5AR2",0.832467034997962,1.03311831148809,0.763916354047401,1.3971862755353
"STX11",0.0196019756972204,1.21058989991463,1.03109137871433,1.4213365915276
"ZNF503",0.0247276030755556,1.27271638167321,1.03115263705572,1.57087023779954
"HERPUD1",0.851363972149304,1.03141698171623,0.746298775908618,1.42546259556359
"RAPGEF1",0.179781473754407,1.34000828495849,0.873756519535156,2.05506014960858
"PEA15",0.00116775660644432,1.75128349128312,1.24866127250703,2.45622566693606
"AHNAK",0.263735647343632,1.12819444075414,0.913097780764981,1.3939610006304
"LAPTM5",0.00770875366675569,1.56502914447428,1.12574079286422,2.17573729101715
"CD93",0.0562195222134199,1.13983989499717,0.996534978343413,1.30375251693316
"EMP3",0.0105662863201561,1.33746540309755,1.07022572779155,1.67143590182061
"NCF2",0.00455560855491163,1.21676430225993,1.06252340181965,1.39339553812989
"TREM1",0.271848050553963,1.09864035939363,0.928926452242165,1.29936082278117
"ZDHHC7",0.00940985930503313,1.71255898628713,1.14103370209837,2.57035202038228
"MYH9",0.00410425221687708,1.83941009986765,1.21318785398333,2.78887519718079
"GUCY2C",0.403102698550717,0.726270028858575,0.343150891322621,1.53713182205412
"MFSD2A",0.00437593202045381,1.47181159319754,1.12825513922011,1.91998182908171
"TNFSF13",0.00288426219373943,1.51569227588999,1.15296078544554,1.99254224791767
"VNN3",0.176426480074609,1.15995018650107,0.935431580573441,1.43835686447431
