"","dynamicColors","mergedColors"
"TP53I11","grey","grey"
"TP53I13","brown","pink"
"TP53I3","grey","grey"
"TP53INP1","blue","black"
"TP53INP2","grey","grey"
"TP53RK","red","black"
"TP53TG5","grey","grey"
"TP73","grey","grey"
"TPBG","grey","grey"
"TPCN1","grey","grey"
"TPCN2","grey","grey"
"TPD52","grey","grey"
"TPD52L2","turquoise","turquoise"
"TPGS1","brown","pink"
"TPGS2","purple","purple"
"TPH1","grey","grey"
"TPI1","blue","black"
"TPK1","turquoise","turquoise"
"TPM1","purple","purple"
"TPM2","grey","grey"
"TPM3","turquoise","turquoise"
"TPM4","turquoise","turquoise"
"TPMT","turquoise","turquoise"
"TPP1","turquoise","turquoise"
"TPP2","blue","black"
"TPPP","grey","grey"
"TPPP3","grey","grey"
"TPR","blue","black"
"TPRA1","brown","pink"
"TPRG1L","grey","grey"
"TPRKB","grey","grey"
"TPRN","pink","pink"
"TPSAB1","grey","grey"
"TPSB2","grey","grey"
"TPSD1","grey","grey"
"TPSG1","grey","grey"
"TPST1","grey","grey"
"TPST2","grey","grey"
"TPT1","tan","tan"
"TPTE2","grey","grey"
"TPX2","midnightblue","cyan"
"TRA2A","grey","grey"
"TRA2B","grey","grey"
"TRABD","turquoise","turquoise"
"TRABD2A","greenyellow","greenyellow"
"TRADD","magenta","pink"
"TRAF1","greenyellow","greenyellow"
"TRAF2","pink","pink"
"TRAF3","grey","grey"
"TRAF3IP1","green","black"
"TRAF3IP2","turquoise","turquoise"
"TRAF3IP3","turquoise","turquoise"
"TRAF4","grey","grey"
"TRAF5","grey","grey"
"TRAF6","blue","black"
"TRAF7","brown","pink"
"TRAFD1","turquoise","turquoise"
"TRAIP","midnightblue","cyan"
"TRAK1","grey","grey"
"TRAK2","purple","purple"
"TRAM1","red","black"
"TRAM2","grey","grey"
"TRANK1","green","black"
"TRAP1","grey","grey"
"TRAPPC1","magenta","pink"
"TRAPPC10","tan","tan"
"TRAPPC11","blue","black"
"TRAPPC12","grey","grey"
"TRAPPC13","black","black"
"TRAPPC2","yellow","black"
"TRAPPC2B","grey","grey"
"TRAPPC2L","grey","grey"
"TRAPPC3","grey","grey"
"TRAPPC4","grey","grey"
"TRAPPC5","grey","grey"
"TRAPPC6A","magenta","pink"
"TRAPPC6B","red","black"
"TRAPPC8","blue","black"
"TRAPPC9","grey","grey"
"TRAT1","grey","grey"
"TRDMT1","blue","black"
"TREM1","turquoise","turquoise"
"TREM2","grey","grey"
"TREML1","greenyellow","greenyellow"
"TREML2","grey","grey"
"TREML4","grey","grey"
"TRERF1","grey","grey"
"TREX2","grey","grey"
"TRH","grey","grey"
"TRHR","grey","grey"
"TRIAP1","grey","grey"
"TRIB1","turquoise","turquoise"
"TRIB2","greenyellow","greenyellow"
"TRIB3","grey","grey"
"TRIM10","purple","purple"
"TRIM11","magenta","pink"
"TRIM13","grey","grey"
"TRIM14","grey","grey"
"TRIM15","grey","grey"
"TRIM16","grey","grey"
"TRIM16L","grey","grey"
"TRIM17","grey","grey"
"TRIM2","grey","grey"
"TRIM21","grey","grey"
"TRIM22","grey","grey"
"TRIM23","blue","black"
"TRIM24","green","black"
"TRIM25","grey","grey"
"TRIM26","turquoise","turquoise"
"TRIM27","grey","grey"
"TRIM28","pink","pink"
"TRIM3","turquoise","turquoise"
"TRIM32","grey","grey"
"TRIM33","red","black"
"TRIM34","blue","black"
"TRIM35","grey","grey"
"TRIM36","grey","grey"
"TRIM37","green","black"
"TRIM38","turquoise","turquoise"
"TRIM39","grey","grey"
"TRIM4","grey","grey"
"TRIM41","grey","grey"
"TRIM44","grey","grey"
"TRIM45","grey","grey"
"TRIM46","grey","grey"
"TRIM47","grey","grey"
"TRIM5","yellow","black"
"TRIM52","yellow","black"
"TRIM54","grey","grey"
"TRIM56","grey","grey"
"TRIM58","purple","purple"
"TRIM59","midnightblue","cyan"
"TRIM6","grey","grey"
"TRIM62","grey","grey"
"TRIM65","pink","pink"
"TRIM66","grey","grey"
"TRIM68","grey","grey"
"TRIM69","turquoise","turquoise"
"TRIM7","turquoise","turquoise"
"TRIM71","grey","grey"
"TRIM73","grey","grey"
"TRIM74","grey","grey"
"TRIM8","grey","grey"
"TRIM9","grey","grey"
"TRIO","grey","grey"
"TRIOBP","grey","grey"
"TRIP10","grey","grey"
"TRIP11","red","black"
"TRIP12","blue","black"
"TRIP13","cyan","cyan"
"TRIP4","grey","grey"
"TRIP6","grey","grey"
"TRIQK","grey","grey"
"TRIT1","grey","grey"
"TRMO","grey","grey"
"TRMT1","pink","pink"
"TRMT10A","black","black"
"TRMT10B","yellow","black"
"TRMT10C","black","black"
"TRMT11","green","black"
"TRMT112","pink","pink"
"TRMT12","grey","grey"
"TRMT13","yellow","black"
"TRMT1L","red","black"
"TRMT2A","brown","pink"
"TRMT2B","yellow","black"
"TRMT44","yellow","black"
"TRMT5","red","black"
"TRMT6","grey","grey"
"TRMT61A","pink","pink"
"TRMT61B","green","black"
"TRMU","brown","pink"
"TRNAU1AP","grey","grey"
"TRNP1","grey","grey"
"TRNT1","red","black"
"TRO","grey","grey"
"TROAP","midnightblue","cyan"
"TRPC1","purple","purple"
"TRPC4AP","brown","pink"
"TRPC5","lightcyan","lightcyan"
"TRPM2","grey","grey"
"TRPM4","grey","grey"
"TRPM7","blue","black"
"TRPS1","grey","grey"
"TRPT1","brown","pink"
"TRPV1","grey","grey"
"TRPV2","turquoise","turquoise"
"TRPV3","grey","grey"
"TRPV5","salmon","salmon"
"TRPV6","grey","grey"
"TRRAP","green","black"
"TRUB1","red","black"
"TRUB2","green","black"
"TSACC","grey","grey"
